Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-25,CAP - VMA (300m x 12),VMA 300m x 12 @ 13.6 km/h (effort 01:19 / recup 75.0m x 00:38) - 15min d'intensité,38 min,Hard,
2026-08-26,Natation - Endurance Z2,Endurance Z2 (118 min),118 min,Easy,
2026-08-26,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-08-27,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (80 min),80 min,Easy,
2026-08-27,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-01,CAP - VC (500m x 5),VC 500m x 5 @ 9.9 km/h (effort 03:02 / recup 125.0m x 01:38) - 15min d'intensité,38 min,Moderate,
2026-09-02,Natation - Endurance Z2,Endurance Z2 (106 min),106 min,Easy,
2026-09-02,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (64 min),64 min,Easy,
2026-09-03,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-08,CAP - VMA (500m x 7),VMA 500m x 7 @ 13.3 km/h (effort 02:15 / recup 125.0m x 01:04) - 15min d'intensité,22 min,Hard,
2026-09-09,Natation - Endurance Z2,Endurance Z2 (85 min),85 min,Easy,
2026-09-09,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (41 min),41 min,Easy,
2026-09-10,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-15,CAP - VC (700m x 4),VC 700m x 4 @ 9.5 km/h (effort 04:24 / recup 175.0m x 02:18) - 17min d'intensité,45 min,Moderate,
2026-09-16,Natation - Endurance Z2,Endurance Z2 (150 min),150 min,Easy,
2026-09-16,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (129 min),129 min,Easy,
2026-09-17,Vélo - Endurance Z2,Endurance Z2 (129 min),129 min,Easy,
2026-09-22,CAP - VMA (700m x 5),VMA 700m x 5 @ 13.0 km/h (effort 03:13 / recup 175.0m x 01:30) - 16min d'intensité,45 min,Hard,
2026-09-23,Natation - Endurance Z2,Endurance Z2 (180 min),180 min,Easy,
2026-09-23,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-24,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (185 min),185 min,Easy,
2026-09-24,Vélo - Endurance Z2,Endurance Z2 (185 min),185 min,Easy,
