Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (51 min),51 min,Recovery,
2026-08-25,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-08-26,Vélo - Seuil Z4,Seuil Z4 (80 min),80 min,Moderate,
2026-08-27,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (72 min),72 min,Easy,
2026-08-27,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-09-01,CAP - Footing de récupération Z1,Footing de récupération Z1 (78 min),78 min,Recovery,
2026-09-01,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-09-02,Vélo - Seuil Z4,Seuil Z4 (123 min),123 min,Moderate,
2026-09-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (112 min),112 min,Easy,
2026-09-03,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-09-08,CAP - VC (500m x 6),500m x 6 - effort 02:34 / récup 125.0m x 01:24,45 min,Moderate,
2026-09-09,Vélo - Seuil Z4,Seuil Z4 (172 min),172 min,Moderate,
2026-09-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-10,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-09-10,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-16,Vélo - Seuil Z4,Seuil Z4 (80 min),80 min,Moderate,
2026-09-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (61 min),61 min,Easy,
2026-09-17,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-09-17,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-22,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-22,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-23,Vélo - Seuil Z4,Seuil Z4 (156 min),156 min,Moderate,
2026-09-24,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-24,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-09-29,CAP - VMA (700m x 6),700m x 6 - effort 02:58 / récup 175.0m x 01:22,45 min,Hard,
2026-09-30,Vélo - Seuil Z4,Seuil Z4 (180 min),180 min,Moderate,
2026-10-01,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-10-01,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-10-01,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (85 min),85 min,Recovery,
2026-10-06,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-10-07,Vélo - Seuil Z4,Seuil Z4 (146 min),146 min,Moderate,
2026-10-08,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-10-08,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-10-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (35 min),35 min,Recovery,
2026-10-13,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-14,Vélo - Seuil Z4,Seuil Z4 (80 min),80 min,Moderate,
2026-10-20,CAP - VC (2000m x 2),2000m x 2 - effort 11:47 / récup 500.0m x 05:36,53 min,Moderate,
2026-10-21,Vélo - Seuil Z4,Seuil Z4 (116 min),116 min,Moderate,
2026-10-22,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (106 min),106 min,Easy,
2026-10-22,Natation - Récupération active,Récupération active (72 min),72 min,Recovery,
2026-10-22,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-10-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (37 min),37 min,Recovery,
2026-10-28,Vélo - Récupération active,Récupération active (52 min),52 min,Recovery,
2026-10-29,CAP - Footing de récupération Z1,Footing de récupération Z1 (37 min),37 min,Recovery,
2026-10-29,Natation - Récupération active,Récupération active (60 min),60 min,Recovery,
2026-11-03,CAP - Footing de récupération Z1,Footing de récupération Z1 (26 min),26 min,Recovery,
2026-11-04,Vélo - Récupération active,Récupération active (52 min),52 min,Recovery,
2026-11-05,CAP - Footing de récupération Z1,Footing de récupération Z1 (26 min),26 min,Recovery,
2026-11-05,Natation - Récupération active,Récupération active (60 min),60 min,Recovery,
2026-11-10,CAP - Footing de récupération Z1,Footing de récupération Z1 (26 min),26 min,Recovery,
2026-11-11,Vélo - Récupération active,Récupération active (52 min),52 min,Recovery,
2026-11-12,CAP - Footing de récupération Z1,Footing de récupération Z1 (26 min),26 min,Recovery,
2026-11-12,Natation - Récupération active,Récupération active (60 min),60 min,Recovery,
